Location,Industry priority #1,Industry priority #2,Position
Greater New York City Area,Computer Software,Airlines/Aviation,CEO
New Jersey,Information Technology and Services,Alternative Dispute Resolution,CTO
Boston,Human Resources,Alternative Medicine,COO
Washington,Internet,Architecture & Planning,CMO
Denver,Staffing and Recruiting,Automotive,CIO
Dallas,Financial Services,Aviation & Aerospace,Head of delivery
Baltimore,Hospital & Health Care,Biotechnology,Head of product
San Diego,Logistics and Supply Chain,Broadcast Media,Producer
Houston,Restaurants,Building Materials,Art director
Atlanta,Computer Games,Business Supplies and Equipment,VP of delivery
Austin,Gambling & Casinos,Chemicals,Head of production
Chicago,Transportation/Trucking/Railroad,Civic & Social Organization,Business Development 
Portland,Banking,Civil Engineering,Vendor Manager
Raleigh-Durham,Investment Banking,Commercial Real Estate,Founder
LA/OC,Management Consulting,Computer Hardware,Co Founder/Co-Founder
Philadelphia,Automotive,Construction,CFO
Columbus,Hospitality,Dairy,Owner
San Antonio,IoT,Defense & Space,
Columbus,Airlines/Aviation,Design,
Phoenix,Apparel & Fashion ,Electrical/Electronic Manufacturing,
Orlando,Retail,Environmental Services,
Salt Lake City,Telecommunications,Events Services,
Minneapolis,Entertainment,Executive Office,
St. Louis,,Facilities Services,
Charlotte,,Farming,
Virginia Beach,,Fishery,
Richmond,,Food & Beverages,
Hartford,,Food Production,
Jaksonville,,Government Administration,
Sacramento,,Government Relations,
Tampa,,Graphic Design,
Omaha,,Hospitality,
Milwaukee,,Import and Export,
Nashville,,Individual & Family Services,
Cincinnati,,International Affairs,
Rochester,,Internet,
Madison,,"Leisure, Travel & Tourism",
Seattle,,Libraries,
Oakland,,Luxury Goods & Jewelry,
Orange Country,,Machinery,
Kansas,,Maritime,
,,Marketing and Advertising,
,,Market Research,
,,Mechanical or Industrial Engineering,
,,Media Production,
,,Military,
,,Mining & Metals,
,,Motion Pictures and Film,
,,Museums and Institutions,
,,Music,
,,Nanotechnology,
,,Newspapers,
,,Nonprofit Organization Management,
,,Oil & Energy,
,,Online Media,
,,Paper & Forest Products,
,,Performing Arts,
,,Philanthropy,
,,Photography,
,,Plastics,
,,Political Organization,
,,Printing,
,,Program Development,
,,Public Policy,
,,Public Relations and Communications,
,,Public Safety,
,,Publishing,
,,Railroad Manufacture,
,,Ranching,
,,Real Estate,
,,Recreational Facilities and Services,
,,Religious Institutions,
,,Renewables & Environment,
,,Research,
,,Security and Investigations,
,,Semiconductors,
,,Shipbuilding,
,,Sporting Goods,
,,Sports,
,,Supermarkets,
,,Textiles,
,,Think Tanks,
,,Tobacco,
,,Translation and Localization,
,,Utilities,
,,Veterinary,
,,Wholesale,
,,Writing and Editing,